"40° 54' 15.09""","-80° 29' 42.30"""
"40° 49' 48.65""","-80° 21' 28.94"""
"40° 48' 51.48""","-80° 19' 31.47"""
"40° 40' 47.42""","-80° 6' 16.64"""
"40° 39' 19.22""","-80° 4' 19.80"""
"40° 36' 32.89""","-79° 56' 50.72"""
"40° 32' 31.29""","-79° 49' 23.20"""
"40° 26' 17.12""","-79° 45' 1.55"""
"40° 18' 48.34""","-79° 40' 42.86"""
"40° 13' 18.24""","-79° 36' 15.36"""
"40° 6' 32.94""","-79° 22' 51.65"""
"40° 1' 13.19""","-79° 4' 52.51"""
"40° 3' 0.50""","-78° 30' 49.86"""
"39° 59' 13.98""","-78° 15' 18.98"""
"40° 3' 0.38""","-77° 57' 37.64"""
"40° 5' 48.27""","-77° 48' 56.11"""
"40° 9' 27.19""","-77° 36' 57.48"""
"40° 13' 41.33""","-77° 9' 7.84"""
"40° 11' 44.50""","-76° 58' 36.04"""
"40° 12' 43.80""","-76° 52' 32.45"""
"40° 12' 54.04""","-76° 47' 9.83"""
"40° 13' 47.08""","-76° 26' 8.58"""
"40° 13' 4.98""","-76° 4' 53.19"""
"40° 9' 35.65""","-75° 53' 0.78"""
"40° 4' 6.19""","-75° 40' 7.79"""
"40° 4' 35.10""","-75° 32' 16.25"""
"40° 5' 34.68""","-75° 24' 14.72"""
"40° 6' 39.64""","-75° 17' 14.83"""
"40° 7' 56.35""","-75° 11' 44.68"""
"40° 8' 18.76""","-75° 10' 14.33"""
"40° 9' 41.98""","-75° 7' 14.24"""
"40° 7' 55.21""","-74° 58' 15.74"""
"40° 7' 53.43""","-74° 58' 7.98"""
"40° 7' 45.00""","-74° 57' 30.59"""